,reagent,product,enzyme
HexCer 40:1;O2->Hex2Cer 40:1;O2,HexCer 40:1;O2,Hex2Cer 40:1;O2,"('B4galt5', 'B4galt6')"
Cer 40:0;O2->HexCer 40:0;O2,Cer 40:0;O2,HexCer 40:0;O2,"('Ugcg', 'Ugt8a')"
HexCer 40:0;O2->Cer 40:0;O2,HexCer 40:0;O2,Cer 40:0;O2,"('Gba1', 'Gba2', 'Galc')"
HexCer 40:0;O2->Hex2Cer 40:0;O2,HexCer 40:0;O2,Hex2Cer 40:0;O2,"('B4galt5', 'B4galt6')"
HexCer 42:1;O2->Cer 42:1;O2,HexCer 42:1;O2,Cer 42:1;O2,"('Gba1', 'Gba2', 'Galc')"
Hex2Cer 40:1;O2->HexCer 40:1;O2,Hex2Cer 40:1;O2,HexCer 40:1;O2,Glb1
Hex2Cer 40:0;O2->HexCer 40:0;O2,Hex2Cer 40:0;O2,HexCer 40:0;O2,Glb1
PG 35:0->DG 35:0,PG 35:0,DG 35:0,Plcb1
PC O-34:1->LPC O-18:0,PC O-34:1,LPC O-18:0,Pla2g2a
PC O-34:1->LPC O-16:0,PC O-34:1,LPC O-16:0,Pla2g2a
PC O-34:1->LPC 18:1,PC O-34:1,LPC 18:1,Pla2g2a
LPC O-18:0->PC O-34:1,LPC O-18:0,PC O-34:1,"('Lpcat1', 'Lpcat2')"
LPC O-18:0->PC O-32:0,LPC O-18:0,PC O-32:0,"('Lpcat1', 'Lpcat2')"
LPC O-18:0->PC O-36:1,LPC O-18:0,PC O-36:1,"('Lpcat1', 'Lpcat2')"
LPC O-16:0->PC O-34:1,LPC O-16:0,PC O-34:1,"('Lpcat1', 'Lpcat2')"
LPC O-16:0->PC O-32:0,LPC O-16:0,PC O-32:0,"('Lpcat1', 'Lpcat2')"
LPC O-16:0->PC O-36:1,LPC O-16:0,PC O-36:1,"('Lpcat1', 'Lpcat2')"
PC O-32:0->LPC O-18:0,PC O-32:0,LPC O-18:0,Pla2g2a
PC O-32:0->LPC O-16:0,PC O-32:0,LPC O-16:0,Pla2g2a
PC O-32:0->LPC 16:0,PC O-32:0,LPC 16:0,Pla2g2a
PC O-36:1->LPC O-18:0,PC O-36:1,LPC O-18:0,Pla2g2a
PC O-36:1->LPC O-16:0,PC O-36:1,LPC O-16:0,Pla2g2a
PC O-36:1->LPC 18:1,PC O-36:1,LPC 18:1,Pla2g2a
PC O-36:1->LPC 20:1,PC O-36:1,LPC 20:1,Pla2g2a
PE O-36:1->PC O-36:1,PE O-36:1,PC O-36:1,Pemt
